Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
31/10/2016,0.55,8.0,24.658487095474005,9.350029003511667,19.836135912469626,30.023166027202606,10,10,14,13,16.658487095474005,1.3500290035116667,11.836135912469626,22.023166027202606
07/11/2016,0.04,8.0,17.725903462105393,0.34729543136134744,4.348430908247083,19.476313702754975,8,10,10,14,9.725903462105393,-7.652704568638653,-3.6515690917529167,11.476313702754975
14/11/2016,0.46,4.0,3.311099834626168,-5.107430063700825,1.799665529394597,11.492575312017202,8,8,10,10,-0.6889001653738318,-9.107430063700825,-2.2003344706054033,7.492575312017202
21/11/2016,0.21,5.0,20.56401245525658,2.6507689673401416,17.366139848452807,18.05302283556461,4,8,8,10,15.56401245525658,-2.3492310326598584,12.366139848452807,13.053022835564612
28/11/2016,0.13,8.0,3.1216176240567863,-8.478464942745566,12.176820229611398,19.423814124594927,5,4,8,8,-4.878382375943214,-16.478464942745568,4.176820229611398,11.423814124594927
05/12/2016,0.29,96.0,11.945815852083564,5.505561319077015,13.644748828847408,21.972797680274248,8,5,4,8,-84.05418414791643,-90.49443868092298,-82.35525117115259,-74.02720231972575
12/12/2016,0.45,29.0,-102.10908882731438,-6.19077369505763,-3.72190124169901,-3.4020075730633734,96,8,5,4,-131.1090888273144,-35.19077369505763,-32.72190124169901,-32.40200757306337
19/12/2016,0.4,55.0,120.00359809447289,130.47027105842113,7.25259542917192,9.189827993190587,29,96,8,5,65.00359809447289,75.47027105842113,-47.74740457082808,-45.81017200680941
26/12/2016,0.74,7.0,-2.3356904612727463,119.257348569417,116.31835959843636,10.345930791166127,55,29,96,8,-9.335690461272746,112.257348569417,109.31835959843636,3.3459307911661273
02/01/2017,0.35,1.0,184.23718978328705,169.99167423096657,126.63067806766033,170.06159055353166,7,55,29,96,183.23718978328705,168.99167423096657,125.63067806766033,169.06159055353166
09/01/2017,1.0,1.0,82.53900147766113,59.601036891009805,-54.41293158205033,-84.94998756700515,1,7,55,29,81.53900147766113,58.601036891009805,-55.41293158205033,-85.94998756700515
16/01/2017,0.57,1.0,61.37849731801271,120.68001108734607,154.34274559046744,129.70090227006912,1,1,7,55,60.37849731801271,119.68001108734607,153.34274559046744,128.70090227006912
23/01/2017,0.59,2.0,-3.6288731361861526,-9.909787210612894,66.42778232231855,41.74031386389255,1,1,1,7,-5.628873136186153,-11.909787210612894,64.42778232231855,39.74031386389255
30/01/2017,0.57,29.0,0.5268393757872284,-7.965724465189576,14.633427716808916,52.092328048353195,2,1,1,1,-28.47316062421277,-36.965724465189574,-14.366572283191084,23.092328048353195
06/02/2017,0.46,29.0,22.3420925044477,4.800440307647735,5.278280908302069,-0.6534963223448396,29,2,1,1,-6.657907495552301,-24.199559692352267,-23.72171909169793,-29.65349632234484
13/02/2017,0.41,30.999999999999996,40.601313635691405,-6.709978440311551,1.382901661325544,-1.69399158331722,29,29,2,1,9.601313635691408,-37.709978440311545,-29.617098338674452,-32.693991583317214
20/02/2017,1.0,78.0,35.742029479440454,-29.106090280358792,-6.4606322486329075,-4.18703460059613,31,29,29,2,-42.257970520559546,-107.10609028035879,-84.4606322486329,-82.18703460059614
27/02/2017,0.59,78.0,-7.794783544726968,-18.231619892562033,-0.9057208897317945,11.755632982218861,78,31,29,29,-85.79478354472697,-96.23161989256204,-78.9057208897318,-66.24436701778114
06/03/2017,0.37,80.0,110.2215864541769,136.34876763786792,18.468962618590595,27.380027326859235,78,78,31,29,30.2215864541769,56.34876763786792,-61.531037381409405,-52.619972673140765
13/03/2017,0.27,36.0,-13.328667956101299,193.57420048722267,58.526804012260435,68.22697066782474,80,78,78,31,-49.3286679561013,157.57420048722267,22.526804012260435,32.226970667824745
20/03/2017,0.16,36.0,79.23261769098758,350.8869834812164,317.3981022475147,214.84486025665282,36,80,78,78,43.23261769098758,314.8869834812164,281.3981022475147,178.84486025665282
27/03/2017,0.08,47.0,164.2288338107872,186.50848286067009,320.91398565693856,285.7801458999825,36,36,80,78,117.2288338107872,139.50848286067009,273.91398565693856,238.78014589998247
03/04/2017,0.37,47.0,75.61733042580843,228.66323794446944,100.83826740706444,210.78285157499315,47,36,36,80,28.617330425808433,181.66323794446944,53.838267407064436,163.78285157499315
10/04/2017,0.44,47.0,70.88253921367406,109.08668795032024,92.26896984104633,-28.850526672477724,47,47,36,36,23.882539213674065,62.08668795032024,45.26896984104633,-75.85052667247773
17/04/2017,0.31,6.0,104.15183232815265,211.50772725136756,166.69751832039356,78.73466087521791,47,47,47,36,98.15183232815265,205.50772725136756,160.69751832039356,72.73466087521791
24/04/2017,0.18,6.0,158.5425323149109,205.6123350584507,223.740630145998,142.1417588487911,6,47,47,47,152.5425323149109,199.6123350584507,217.740630145998,136.1417588487911
01/05/2017,0.14,6.0,100.22565679870605,149.8747135742426,200.88926305872917,210.98579841259001,6,6,47,47,94.22565679870605,143.8747135742426,194.88926305872917,204.98579841259001
08/05/2017,0.09,6.0,57.21255667639733,87.92753524027347,202.61652536141395,236.99893919225693,6,6,6,47,51.21255667639733,81.92753524027347,196.61652536141395,230.99893919225693
