Week,Acre,Amapá,Amazonas,Pará,Rondonia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhao,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Espírito Santo,Minas Gerais,Rio de Janeiro,Sao Paulo,Paraná,Rio Grande do Sul,Santa Catarina,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2017-SE34,32.463970337867245,9.483628337472757,394.1721197429215,650.5194366414946,173.06517842172929,232.77141393171888,961.860980646225,154.06704934535952,1861.035138681772,1513.345320637969,465.1673610405391,97.43141083284658,50.50740855446475,160.59505433276803,270.1433081421273,11.223890385436672,303.023166196017,776.6288272204501,1434.3368391016993,338.2061197262418,47.19699148160339,14.437551640408362,13.414212047245712,47.77888581621664,3532.7330257437116,1961.3300944213515,48.556456876375805
2017-SE35,32.0,12.0,407.0,650.0,175.0,230.0,951.0,158.0,1868.0,1484.0,446.0,101.0,52.0,162.0,277.0,12.0,306.0,767.0,1458.0,334.0,51.0,15.0,13.0,48.0,3566.0,1963.0,48.0
2017-SE36,29.32815775662072,13.321849488400861,414.321972167891,647.1908812278134,177.37042401434337,230.71329510318193,920.8168913173241,157.74235759619935,1896.6127212209149,1469.3809315334693,440.43548775347256,102.7146698347639,54.84397583821735,163.6389766658923,289.1702294789144,13.683288479597284,310.0189218960248,750.9111683595228,1596.5930597522156,329.8377874535547,52.19000727853434,15.437231128090533,12.014182048021963,49.28094883209501,3605.0600944476228,1979.9792330859257,47.31553783273077
2017-SE37,24.44844360772941,13.449176802675346,416.1380362465946,642.0920803249351,180.1764504647595,234.9112992412646,871.3116545981973,153.29412213395761,1946.8733023445166,1469.4881152383768,448.4738243009567,102.57542033713827,59.039336069116786,165.5119843304449,306.6539965788706,16.27375582422853,315.07993188409125,728.3623322990186,1850.1160183583465,325.71948208690594,50.7670133172064,15.749245024679968,10.456758191311597,51.621732312501685,3649.9133090865816,2012.2677936791292,46.50307037456811
2017-SE38,21.09450765497339,12.851915715612162,414.8850822020009,640.4472392595892,181.14425168279587,239.153653758715,815.6505905799721,152.4488256047371,1995.6972322958604,1475.3512413240965,461.7752486979625,102.39846067094352,61.46502826545784,166.62899982977507,323.5607653893915,17.97734525674551,320.10097593011216,709.6323300890052,2095.3309677853044,322.2414356768043,50.46051269727528,16.186636408929417,9.670955238945437,53.651649636657524,3689.3098691822497,2043.1724574327684,47.189067729121405
2017-SE39,23.0,12.0,413.0,648.0,178.0,240.0,767.0,163.0,2020.0,1478.0,472.0,104.0,59.0,166.0,334.0,17.0,324.0,705.0,2209.0,320.0,55.0,17.0,11.0,54.0,3712.0,2056.0,51.0
2017-SE40,29.0,11.0,411.0,660.0,172.0,238.0,727.0,182.0,2024.0,1477.0,480.0,107.0,53.0,164.0,340.0,14.0,327.0,712.0,2209.0,320.0,63.0,18.0,14.0,53.0,3720.0,2056.0,57.0
2017-SE41,32.10498379811791,10.491337780578915,411.9883443584485,647.9450639825832,170.68207918456412,236.4516259679968,705.4912934302821,191.76295368625827,2033.0075995542416,1469.744893727564,490.88677945554673,109.11823072509691,51.59952062899827,162.87909078305677,353.73056292521403,12.92702493279351,330.43895136758147,715.8402778969867,2202.5922777706946,328.27038533784423,66.14766134499163,18.05062162157914,16.00760039209366,52.65094922148272,3725.40765994324,2074.669929147819,59.573864605897974
2017-SE42,32.02390398929118,10.550835050791555,415.76205485376306,613.3715742619158,174.20683226417947,235.4202352819127,701.7953183206929,191.25957283254942,2049.7188842108276,1458.004046742479,503.97043325822955,110.13362392013207,55.08049173027822,162.74566637749712,374.50129099614634,14.046355918301296,334.28399490629795,715.0948648494112,2205.9665714633315,343.63411575064106,63.86533743250452,17.21411547397908,16.610694820790563,53.29658147066249,3730.184294396559,2111.5073315354716,58.6039948445149
2017-SE43,34.0,11.0,418.0,594.0,176.0,232.0,702.0,192.0,2065.0,1455.0,510.0,111.0,57.0,162.0,386.0,15.0,337.0,716.0,2209.0,353.0,61.0,17.0,16.0,55.0,3734.0,2132.0,59.0
2017-SE44,38.90714506799107,11.809083993097925,417.98199121616864,596.1170860571694,174.9658725188848,225.70661546530053,703.7866593563315,195.90259228213102,2077.328637926798,1462.936510326002,507.4336527795169,111.87632903384981,56.28422655419026,160.37547052001202,385.50799256797546,15.394958351802387,338.33111154599607,719.5950565392072,2210.0054165343818,354.1861728795225,58.35947767038829,17.659861606775266,14.207302048706849,57.771722018238705,3736.7997928602376,2130.395900014244,61.58014828637813
2017-SE45,43.0,12.0,418.0,594.0,175.0,223.0,697.0,200.0,2083.0,1464.0,507.0,113.0,55.0,159.0,392.0,16.0,341.0,722.0,2210.0,359.0,57.0,18.0,14.0,60.0,3742.0,2132.0,64.0
2017-SE46,43.0,11.0,418.0,571.0,179.0,228.0,676.0,202.0,2084.0,1463.0,516.0,115.0,55.0,159.0,417.0,17.0,346.0,722.0,2210.0,376.0,59.0,17.0,17.0,61.0,3746.0,2154.0,65.0
2017-SE47,42.0,11.0,408.0,571.0,177.0,228.0,666.0,206.0,2108.0,1555.0,516.0,119.0,55.0,160.0,419.0,16.0,345.0,732.0,2210.0,387.0,67.0,16.0,17.0,65.0,3728.0,2154.0,69.0
2017-SE48,42.0,11.0,408.0,571.0,155.0,229.0,666.0,212.0,2127.0,1545.0,516.0,119.0,55.0,160.0,416.0,18.0,347.0,735.0,2210.0,396.0,65.0,16.0,17.0,65.0,3783.0,2154.0,67.0
2017-SE49,42.0,11.0,409.0,695.0,163.0,229.0,698.0,218.0,2157.0,1546.0,516.0,119.0,57.0,160.0,439.0,18.0,346.0,738.0,2210.0,400.0,70.0,13.0,18.0,62.0,3788.0,2129.0,70.0
2017-SE50,42.0,11.0,411.0,688.0,151.0,206.0,708.0,239.0,2158.0,1546.0,516.0,117.0,59.0,161.0,440.0,17.0,347.0,741.0,2210.0,396.0,69.0,14.0,17.0,65.0,3790.0,2148.0,71.0
2017-SE51,42.0,11.0,419.0,688.0,145.0,207.0,708.0,245.0,2161.0,1502.0,516.0,115.0,33.0,161.0,440.0,17.0,348.0,750.0,2210.0,397.0,68.0,13.0,16.0,63.0,3844.0,2149.0,71.0
2017-SE52,40.0,11.0,429.0,688.0,141.0,203.0,689.0,249.0,2217.0,1503.0,516.0,115.0,39.0,154.0,460.0,17.0,352.0,758.0,2210.0,412.0,61.0,12.0,20.0,65.0,3867.0,2148.0,76.0
