Date,Searches,WeekNumber,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
24/10/2016,0.38,43,10.0,20.97088826674819,6.560032938839793,14.720480802869798,-2.070776290599704,10,8,8,2,10.97088826674819,-3.439967061160207,4.7204808028697975,-12.070776290599703
31/10/2016,0.26,44,11.999999999999998,23.1896383485353,7.775312711703181,13.823229931526184,11.717408024166227,10,10,8,8,11.189638348535302,-4.224687288296817,1.8232299315261855,-0.28259197583377116
07/11/2016,0.26,45,13.0,15.95697330739379,-0.48051691545307634,-2.565342451259494,7.588218652866483,12,10,10,8,2.95697330739379,-13.480516915453077,-15.565342451259493,-5.411781347133517
14/11/2016,0.58,46,9.0,9.328996214059591,-14.050579558501244,-7.953303910762668,-1.5077553655928373,13,12,10,10,0.32899621405959145,-23.050579558501244,-16.953303910762667,-10.507755365592837
21/11/2016,0.27,47,11.999999999999998,40.67669459780693,4.250112641755939,3.6282653705483674,14.581582334718703,9,13,12,10,28.67669459780693,-7.7498873582440595,-8.37173462945163,2.5815823347187052
28/11/2016,0.15,48,9.0,35.084678020601274,8.717358779613376,-5.5890339547842744,-2.3494292261618375,12,9,13,12,26.084678020601274,-0.2826412203866244,-14.589033954784274,-11.349429226161838
05/12/2016,0.25,49,11.0,36.87673764775276,-3.4417897082358597,-35.09687601005554,-2.4325115072745085,9,12,9,13,25.876737647752762,-14.44178970823586,-46.09687601005554,-13.432511507274508
12/12/2016,0.3,50,11.0,44.68614477850914,-10.083859318798185,-42.76377185225487,-11.891101918117403,11,9,12,9,33.68614477850914,-21.083859318798183,-53.76377185225487,-22.891101918117403
19/12/2016,0.34,51,11.0,76.02541062542916,24.429060762290955,-22.709987660274507,9.287326830967068,11,11,9,12,65.02541062542916,13.429060762290955,-33.70998766027451,-1.7126731690329322
26/12/2016,0.35,52,1.9999999999999998,95.77729143136024,27.23151422179222,-37.25091003014565,-17.456178908319472,11,11,11,9,93.77729143136024,25.23151422179222,-39.25091003014565,-19.456178908319472
02/01/2017,0.19,1,11.0,110.3704675207615,27.66943966671467,-41.94875985098839,-6.698836995307803,2,11,11,11,99.3704675207615,16.66943966671467,-52.94875985098839,-17.698836995307804
09/01/2017,0.46,2,11.0,-135.44845125144005,32.9376493473959,-43.4297644529438,0.4744619795113802,11,2,11,11,-146.44845125144005,21.937649347395897,-54.4297644529438,-10.52553802048862
16/01/2017,0.21,3,11.0,-108.6157949201107,-26.065410347590447,-48.205031853914264,-0.9853692289847136,11,11,2,11,-119.6157949201107,-37.06541034759044,-59.205031853914264,-11.985369228984714
23/01/2017,0.19,4,11.999999999999998,-156.03528380610467,-157.92193135148048,-267.672957525425,-1.587086355831027,11,11,11,2,-168.03528380610467,-169.92193135148048,-279.672957525425,-13.587086355831026
30/01/2017,0.32,5,25.0,25.122339912918807,-259.4661149735642,-150.59918497645378,-93.60126578322411,12,11,11,11,0.12233991291880741,-284.4661149735642,-175.59918497645378,-118.60126578322411
06/02/2017,0.47,6,25.0,15.829070653265715,5.2173918054980035,-214.37884642419814,-247.04851135622025,25,12,11,11,-9.170929346734285,-19.782608194501996,-239.37884642419814,-272.0485113562203
13/02/2017,0.41,7,27.0,8.729340408960581,1.4726420871263743,15.752839513288736,-298.96544553043367,25,25,12,11,-18.27065959103942,-25.527357912873626,-11.247160486711264,-325.96544553043367
20/02/2017,0.25,8,54.0,7.02587041110158,13.877733796169759,12.642494606738687,10.502823750701547,27,25,25,12,-46.97412958889842,-40.12226620383024,-41.35750539326131,-43.497176249298455
27/02/2017,0.38,9,54.0,4.340166438900233,19.93844773287058,21.48197489841938,15.744721682071686,54,27,25,25,-49.65983356109977,-34.06155226712942,-32.51802510158062,-38.255278317928315
06/03/2017,0.18,10,54.0,11.709032921112776,17.48203512125969,24.181875240700244,9.032918815620542,54,54,27,25,-42.29096707888722,-36.517964878740315,-29.818124759299756,-44.96708118437946
13/03/2017,0.12,11,37.0,17.826529191075565,29.746943576498033,43.04155305327654,13.684299992814063,54,54,54,27,-19.173470808924435,-7.253056423501967,6.041553053276537,-23.31570000718594
20/03/2017,0.18,12,37.0,45.370878098289964,46.903837449445724,56.97476944853783,35.635979308681485,37,54,54,54,8.370878098289964,9.903837449445724,19.974769448537828,-1.3640206913185153
27/03/2017,0.07,13,65.0,45.273936182100776,39.25334406365395,53.17286132369995,33.972256629400256,37,37,54,54,-19.726063817899224,-25.746655936346052,-11.827138676300052,-31.027743370599744
03/04/2017,0.19,14,65.0,27.838877167286874,41.35110872062683,50.81857382967949,48.66966321692467,65,37,37,54,-37.161122832713126,-23.648891279373167,-14.181426170320513,-16.33033678307533
10/04/2017,0.15,15,67.0,21.97782033738494,46.1732641104722,36.67153700162888,42.075403682675365,65,65,37,37,-45.02217966261506,-20.826735889527797,-30.328462998371123,-24.924596317324635
17/04/2017,0.15,16,25.0,30.119252901678085,63.53315883732796,58.266270920209884,46.71636102329254,67,65,65,37,5.1192529016780846,38.53315883732796,33.266270920209884,21.716361023292542
24/04/2017,0.2,17,25.0,82.19502529150962,82.18766118022918,77.08199065314292,61.39058639556408,25,67,65,65,57.19502529150962,57.187661180229185,52.081990653142924,36.39058639556408
01/05/2017,0.12,18,25.0,72.4101103392601,66.0111193420744,65.20587580295086,42.52701252753258,25,25,67,65,47.4101103392601,41.011119342074394,40.20587580295086,17.527012527532577
08/05/2017,0.08,19,27.0,63.08309204996109,49.97850496772289,40.72613799623728,64.09339776473999,25,25,25,67,36.08309204996109,22.97850496772289,13.726137996237277,37.09339776473999
15/05/2017,0.14,20,33.0,21.62169317468524,29.542375488650798,14.991864038834573,48.69285072628975,27,25,25,25,-11.378306825314759,-3.457624511349202,-18.00813596116543,15.692850726289748
22/05/2017,0.14,21,33.0,24.23582050288558,36.79119751582384,34.766082648983,59.77107985452652,33,27,25,25,-8.76417949711442,3.791197515823839,1.7660826489830015,26.77107985452652
29/05/2017,0.24,22,33.0,33.334134357557296,45.868657403230664,48.631703426213264,46.003892698078154,33,33,27,25,0.33413435755729637,12.868657403230664,15.631703426213264,13.003892698078154
05/06/2017,0.1,23,33.0,43.292622042098046,51.26003656566143,54.39138885846138,33.32368613129616,33,33,33,27,10.292622042098046,18.26003656566143,21.391388858461383,0.32368613129615653
12/06/2017,0.05,24,33.0,43.14753646164894,52.374963013520244,57.81106813728333,35.77038378071785,33,33,33,33,10.14753646164894,19.374963013520244,24.81106813728333,2.77038378071785
19/06/2017,0.08,25,33.0,33.30203438530922,50.38157991336346,57.494467999234196,39.04688459508896,33,33,33,33,0.30203438530922,17.38157991336346,24.494467999234196,6.046884595088962
26/06/2017,0.16,26,-14.0,26.19016751914382,41.643728291172984,60.32091461446285,37.66229320389748,33,33,33,33,40.19016751914382,55.643728291172984,74.32091461446285,51.66229320389748
03/07/2017,0.13,27,-14.0,42.22163479154587,44.18990123694658,67.10616268947601,44.22764388078689,-14,33,33,33,56.22163479154587,58.18990123694658,81.10616268947601,58.22764388078689
10/07/2017,0.16,28,-14.0,30.511791503486634,34.331574906988145,59.35924350469589,38.78799517185211,-14,-14,33,33,44.511791503486634,48.331574906988145,73.35924350469588,52.78799517185211
17/07/2017,0.3,29,-14.0,32.83049208709717,28.25950639186859,40.675111628587246,38.464616274957656,-14,-14,-14,33,46.83049208709717,42.25950639186859,54.675111628587246,52.464616274957656
24/07/2017,0.04,30,-14.0,36.48659080858231,24.49755643836737,31.831160156948567,29.56237503018379,-14,-14,-14,-14,50.48659080858231,38.49755643836737,45.83116015694857,43.56237503018379
31/07/2017,0.07,31,-9.0,22.54002302780509,-0.18059617474853992,38.1641038877058,44.79976609204292,-14,-14,-14,-14,31.54002302780509,8.81940382525146,47.1641038877058,53.79976609204292
07/08/2017,0.13,32,0.9999999999999999,5.482991539109945,-24.90338505809784,-6.163837457839847,42.98284472167969,-9,-14,-14,-14,4.482991539109945,-25.90338505809784,-7.163837457839847,41.98284472167969
14/08/2017,0.21,33,2.9999999999999996,-8.352725911031962,-41.22566706437111,-15.26903471097231,-20.162659744911196,1,-9,-14,-14,-11.352725911031962,-44.22566706437111,-18.26903471097231,-23.162659744911196
21/08/2017,0.09,34,-7.0,-4.950858969751597,-26.07043304913044,-5.250970894114375,-24.789474215402603,3,1,-9,-14,2.0491410302484034,-19.07043304913044,1.7490291058856249,-17.789474215402603
