Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
29/08/2016,0.17,13.0,28.155038925305604,265.79508471377375,127.8764266994524,16.594506678072214,13,276,138,-27,15.155038925305604,252.79508471377375,114.8764266994524,3.5945066780722144
05/09/2016,0.32,10.0,218.56464232034682,166.50494161318778,150.89705336539268,136.83457755649567,13,13,276,138,208.56464232034682,156.50494161318778,140.89705336539268,126.83457755649567
12/09/2016,0.41,10.0,145.7790797296238,122.88406297651768,-40.25913263576031,-110.3898120604515,10,13,13,276,135.7790797296238,112.88406297651768,-50.25913263576031,-120.3898120604515
19/09/2016,0.23,10.0,21.33270709806442,-34.23912564177513,-88.19833688166142,-229.97167737932205,10,10,13,13,11.332707098064422,-44.23912564177513,-98.19833688166142,-239.97167737932205
26/09/2016,0.15,2.0,17.410870099920036,0.8950628020049631,-17.16081392758727,-130.70382147248267,10,10,10,13,15.410870099920036,-1.1049371979950369,-19.16081392758727,-132.70382147248267
03/10/2016,0.12,8.0,18.954165336221457,1.8315345412944257,8.194481133028269,-100.61825944091797,2,10,10,10,10.954165336221457,-6.168465458705574,0.19448113302826897,-108.61825944091797
10/10/2016,0.06,9.0,10.523106005215048,2.4092525632967057,12.217852945395707,19.82056787173033,8,2,10,10,1.5231060052150482,-6.590747436703294,3.217852945395707,10.82056787173033
17/10/2016,0.35,18.0,11.145071642267704,3.9939201201869547,12.479843635228276,28.647872375929357,9,8,2,10,-6.854928357732296,-14.006079879813045,-5.520156364771724,10.647872375929357
24/10/2016,0.64,18.0,26.898697369185687,12.211069008067847,19.82971952035904,25.56262939772725,18,9,8,2,8.898697369185687,-5.788930991932153,1.8297195203590384,7.56262939772725
31/10/2016,0.16,18.999999999999996,25.96195239358783,8.268857975393534,18.845480922771692,23.093880259599686,18,18,9,8,6.961952393587833,-10.731142024606463,-0.15451907722830427,4.09388025959969
07/11/2016,0.2,18.999999999999996,18.149971788841487,2.5559284399445357,16.24591573527217,19.26442440681815,19,18,18,9,-0.8500282111585094,-16.444071560055463,-2.754084264727826,0.26442440681815427
14/11/2016,0.73,8.0,17.829807523272038,-12.254125191599726,-4.534147948928475,15.252430538176299,19,19,18,18,9.829807523272038,-20.254125191599726,-12.534147948928474,7.252430538176299
21/11/2016,0.46,20.0,26.735078821185827,13.52420836228311,24.19629835861802,29.557299781382085,8,19,19,18,6.735078821185827,-6.47579163771689,4.196298358618019,9.557299781382085
28/11/2016,0.23,33.0,27.03530542222619,20.559445314956903,52.08779404619455,59.708721359369754,20,8,19,19,-5.964694577773809,-12.440554685043097,19.087794046194553,26.708721359369754
05/12/2016,0.15,20.999999999999996,15.930924272421002,-0.4484224493519962,25.556799009660484,63.29297161561489,33,20,8,19,-5.069075727578994,-21.44842244935199,4.556799009660487,42.29297161561489
12/12/2016,0.3,26.999999999999996,35.7421980692029,8.754229701026082,25.321860229532717,41.64313261944056,21,33,20,8,8.742198069202903,-18.245770298973916,-1.6781397704672791,14.64313261944056
19/12/2016,0.17,26.999999999999996,41.330853317358496,11.238366942377686,37.58666133441687,31.494225001218318,27,21,33,20,14.3308533173585,-15.76163305762231,10.58666133441687,4.494225001218322
